Country,State,StateCode,City,Suburb,Average of PostCode,PropertyMedianValue,Average of Average of Latitude,Average of Average of Longitude,UpdatedMonth,UpdatedYear
Australia,New South Wales,NSW,Bathurst,The Rocks,2000,1044350,,,6,2017
Australia,New South Wales,NSW,Bathurst,West Bathurst,2795,0,-33.412695,149.564797,0,0
Australia,New South Wales,NSW,Blue Mountains,Balmoral,2571,0,-34.294422,150.525259,0,0
Australia,New South Wales,NSW,Blue Mountains,Belimbla Park,2570,0,-34.075888,150.543085,0,0
Australia,New South Wales,NSW,Blue Mountains,Bell,2786,0,-33.513745,150.279391,0,0
Australia,New South Wales,NSW,Blue Mountains,Berambing,2758,0,-33.53648,150.442845,0,0
Australia,New South Wales,NSW,Blue Mountains,Bickley Vale,2570,0,-34.070905,150.666238,0,0
Australia,New South Wales,NSW,Blue Mountains,Bilpin,2758,0,-33.498253,150.522195,0,0
Australia,New South Wales,NSW,Blue Mountains,Black Springs,2787,0,-33.840966,149.711027,0,0
Australia,New South Wales,NSW,Blue Mountains,Blackheath,2785,0,-33.635556,150.28483,0,0
Australia,New South Wales,NSW,Blue Mountains,Blaxlands Ridge,2758,0,-33.502253,150.712367,0,0
Australia,New South Wales,NSW,Blue Mountains,Brownlow Hill,2570,0,-34.034824,150.657016,0,0
Australia,New South Wales,NSW,Blue Mountains,Buxton,2571,0,-34.254368,150.533907,0,0
Australia,New South Wales,NSW,Blue Mountains,Camden,2570,0,-34.054599,150.695678,0,0
Australia,New South Wales,NSW,Blue Mountains,Camden Park,2570,0,-34.088673,150.721836,0,0
Australia,New South Wales,NSW,Blue Mountains,Camden South,2570,0,-34.08748,150.695074,0,0
Australia,New South Wales,NSW,Blue Mountains,Cawdor,2570,0,-34.108691,150.671985,0,0
Australia,New South Wales,NSW,Blue Mountains,Chatham Valley,2787,0,-33.820288,149.88752,0,0
Australia,New South Wales,NSW,Blue Mountains,Cobbitty,2570,0,-34.015874,150.691029,0,0
Australia,New South Wales,NSW,Blue Mountains,Couridjah,2571,0,-34.234218,150.547569,0,0
Australia,New South Wales,NSW,Blue Mountains,Dargan,2786,0,-33.489256,150.263514,0,0
Australia,New South Wales,NSW,Blue Mountains,Duckmaloi,2787,0,-33.679898,149.964207,0,0
Australia,New South Wales,NSW,Blue Mountains,East Kurrajong,2758,0,-33.514481,150.764601,0,0
Australia,New South Wales,NSW,Blue Mountains,Edith,2787,0,-33.800214,149.922383,0,0
Australia,New South Wales,NSW,Blue Mountains,Elderslie,2570,0,-34.059038,150.711427,0,0
Australia,New South Wales,NSW,Blue Mountains,Ellis Lane,2570,0,-34.040061,150.672006,0,0
Australia,New South Wales,NSW,Blue Mountains,Gingkin,2787,0,-33.888788,149.927471,0,0
Australia,New South Wales,NSW,Blue Mountains,Glenmore,2570,0,-34.063271,150.597678,0,0
Australia,New South Wales,NSW,Blue Mountains,Grasmere,2570,0,-34.056293,150.67317,0,0
Australia,New South Wales,NSW,Blue Mountains,Gurnang,2787,0,-34.011316,149.837299,0,0
